message,persuasive_type,activity,char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,unique_word_ratio,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,noun_count,verb_count,adj_count,adv_count,word_diversity,has_question,has_exclamation,has_numbers,starts_with_verb,ends_with_call_to_action,sentiment_polarity,sentiment_subjectivity,persuasive_type_encoded,persuasive_type_praise,persuasive_type_reminder,persuasive_type_reward,persuasive_type_suggestion,activity_encoded,activity_healthy eating,activity_meal planning,activity_portion control,activity_water intake
"Great job with your portion control!

-Your entire supply of alcohol will be sent out to all customers!


How to Use:
. . . Use the following to get to your order.
 and
, Use any other items",praise,portion control,0.6541666667,0.8139534884,0.75,0.2111972473,0.04761904762,0.4642857143,0.8034062711,0.1646341463,0.1150817686,0.4589041096,0.1630901288,0.1738104601,0.5,0.3571428571,0.4444444444,0,0.5640138408,FALSE,TRUE,FALSE,FALSE,FALSE,0.4419642857,0.4625,0,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining portion control, you'll feel better.

The following table shows the percentage of variance for the following variables in each of the four time periods. The first three numbers are based on the variance of all of these variables. All of them",reward,portion control,0.9291666667,0.9534883721,0.375,0.4784714161,0.1904761905,0.390625,0.6621926461,0.3292682927,0.3095093882,0.6506849315,0.364806867,0.4077860794,0.625,0.4285714286,0.2222222222,0.125,0.2700534759,FALSE,FALSE,FALSE,FALSE,FALSE,0.4196428571,0.2583333333,2,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining healthy eating, you'll feel better. The best part is that you won't be concerned about the consequences.

You'll still be in a good mood and can feel calm. You can also relax. And you don't need to",reward,healthy eating,0.7458333333,0.9534883721,0.5,0.2281812246,0.1333333333,0.484375,0.8874351455,0.1158536585,0.1920048455,0.4589041096,0.1974248927,0.2174596933,0.25,0.7142857143,0.3333333333,0.625,0.3679890561,FALSE,FALSE,FALSE,FALSE,FALSE,0.7142857143,0.53,2,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your water intake by keeping your body's water balance low and to help you achieve optimal water retention.

If you have a low or no water requirement, try to maintain a high water level. If you are at a moderate water",suggestion,water intake,0.8333333333,0.9534883721,0.25,0.3282973012,0.2857142857,0.296875,0.5221069253,0.493902439,0.4554815263,0.6643835616,0.3175965665,0.2850963429,0.6875,0.6428571429,0.5555555556,0,0.1764705882,FALSE,FALSE,FALSE,TRUE,FALSE,0.3142857143,0.46,3,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,TRUE
"By maintaining healthy eating, you'll feel better.

Your body may also benefit from a lot of other things. We might also love that you can get more out of a diet by eating a variety of foods that are good for you. You",reward,healthy eating,0.7666666667,0.9534883721,0.375,0.2344384794,0.1904761905,0.484375,0.7175727498,0.3414634146,0.3943064809,0.602739726,0.2575107296,0.2233582383,0.3125,0.5,0.5555555556,0.375,0.3823529412,FALSE,FALSE,FALSE,FALSE,FALSE,0.5922619048,0.5125,2,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your portion control by using less water and using a larger amount of carbohydrates.

When to Try
…
 I've been using an 8 oz bottle of this liquid for about 30 days now. I love the flavor of it.",suggestion,portion control,0.7333333333,0.9069767442,0.25,0.2295414974,0.2698412698,0.5597826087,0.7244529664,0.3292682927,0.2701393095,0.4383561644,0.2446351931,0.2233582383,0.5,0.6428571429,0.3333333333,0.125,0.5978112175,FALSE,FALSE,TRUE,TRUE,FALSE,0.3650793651,0.3888888889,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining portion control, you'll feel better.

We recommend that you always use a USB drive when you plan to test your device. If you don't, it's best to leave the USB device plugged in to the router. We'll",reward,portion control,0.7458333333,0.9534883721,0.375,0.2281812246,0.1904761905,0.390625,0.7324610873,0.3109756098,0.3179890975,0.5342465753,0.3090128755,0.2756586709,0.3125,0.7142857143,0,0.5,0.4254445964,FALSE,FALSE,FALSE,FALSE,FALSE,0.8214285714,0.4,2,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your portion control by adding more and more exercises to your workout.

5. Make sure to read the instructions carefully to avoid confusion. If you are trying to gain weight, you probably don't need to follow these instructions. I",suggestion,portion control,0.8833333333,0.9534883721,0.5,0.4158988683,0.1333333333,0.4375,0.5302278367,0.4817073171,0.506359782,0.7671232877,0.4077253219,0.3967754621,0.4375,0.7857142857,0.3333333333,0.375,0.4829001368,FALSE,FALSE,TRUE,TRUE,FALSE,0.5357142857,0.7222222222,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"Don't forget to monitor your healthy eating. It's important to do that when you're in bed and looking to feed your baby.

How to Do It
, you can use these tips to prevent and treat your digestive problems. Here are",reminder,healthy eating,0.7541666667,0.9302325581,0.375,0.2512132476,0.1845238095,0.4255319149,0.7290773742,0.3170731707,0.3222289522,0.602739726,0.2918454936,0.2618953991,0.25,0.9285714286,0.3333333333,0.25,0.3679890561,FALSE,FALSE,FALSE,TRUE,FALSE,0.6071428571,0.75,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Don't forget to monitor your portion control. Make sure you monitor it at least once a day for two weeks.

Step 4: Make a Plan for Your Food
 (I had some suggestions about how to eat on your own, but it",reminder,portion control,0.7041666667,0.9302325581,0.25,0.1681382053,0.2777777778,0.6170212766,0.8198736747,0.256097561,0.3288915809,0.602739726,0.2145922747,0.1848210775,0.4375,0.5,0.2222222222,0.25,0.5294117647,FALSE,FALSE,TRUE,TRUE,FALSE,0.4761904762,0.762962963,1,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining healthy eating, you'll feel better.

Coconut oil and olive oil are both good for you. The main point of these oils are to help your body build energy. Coconut oil has been found to increase your heart rate and",reward,healthy eating,0.7958333333,0.9069767442,0.375,0.3405397562,0.1785714286,0.5108695652,0.8587863749,0.1768292683,0.2465172623,0.4931506849,0.2532188841,0.2819504522,0.5625,0.7142857143,0.4444444444,0.125,0.5294117647,FALSE,FALSE,FALSE,FALSE,FALSE,0.619047619,0.4833333333,2,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your portion control by keeping your hips and your knees in line with your body.

There's something about your legs that makes them so great. They're so big and you can do almost anything with them, but you have to",suggestion,portion control,0.8166666667,0.9534883721,0.25,0.3095255369,0.2857142857,0.484375,0.8129934582,0.2682926829,0.2253179891,0.2123287671,0.313304721,0.2874557609,0.5,0.5714285714,0.2222222222,0.375,0.4509803922,FALSE,FALSE,FALSE,TRUE,FALSE,0.5714285714,0.425,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"Don't forget to monitor your portion control.

6. Add the remaining ingredients in the bowl with the heavy cream and mix well. Then, in a separate bowl, mix the powdered sugar and the sugar mixture into the melted butter mixture. Stir",reminder,portion control,0.8375,0.9534883721,0.5,0.3533263204,0.1333333333,0.296875,0.5336115497,0.4756097561,0.3882495457,0.6643835616,0.3776824034,0.3625639009,0.75,0.3571428571,0.4444444444,0.375,0.3529411765,FALSE,FALSE,TRUE,TRUE,FALSE,0.1428571429,0.5,1,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Great job with your meal planning!

What is a 'Punch' meal plan?
:
, the most common way to prepare meals is to order your own food and take a small snack (or two) out of the fridge.",praise,meal planning,0.6208333333,0.8604651163,0.25,0.1286339893,0.253968254,0.6931818182,0.9348071284,0.1463414634,0.1695941853,0.2123287671,0.1974248927,0.1706645694,0.625,0.2857142857,0.5555555556,0.125,0.59936407,TRUE,TRUE,FALSE,FALSE,TRUE,0.5071428571,0.63,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Don't forget to monitor your meal planning. If you don't want to take a break, try some of the recipes below!

The Perfect Snacks:
- Peanut Butter and Jelly
.
,
 (1/2 cup",reminder,meal planning,0.5708333333,0.7674418605,0.375,0.1668601277,0.1428571429,0.775,0.7668621701,0.243902439,0.2016959419,0.4383561644,0.2618025751,0.2434132914,0.3125,0.5,0.1111111111,0.25,0.6911764706,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,1,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your healthy eating by cutting down on sugar and carbs. It's best to get your carbs from foods that are low in fat, like fruits and vegetables.

Eat less salt. Many studies have found that eating fewer grains, grains",suggestion,healthy eating,0.825,0.9534883721,0.375,0.3282973012,0.1904761905,0.53125,0.8565305662,0.1829268293,0.1907934585,0.4109589041,0.2660944206,0.2866692882,0.6875,0.6428571429,0.4444444444,0.125,0.5978112175,FALSE,FALSE,FALSE,TRUE,FALSE,0.39569161,0.4079365079,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"Don't forget to monitor your meal planning.

If you're not sure what you are eating, there are a number of resources to help you get started. In addition, you can watch a video about eating healthy and how you should approach your",reminder,meal planning,0.8208333333,0.9534883721,0.25,0.3220400464,0.2857142857,0.484375,0.7210692533,0.3353658537,0.3331314355,0.5342465753,0.339055794,0.314589068,0.3125,0.9285714286,0.2222222222,0.25,0.4946524064,FALSE,FALSE,FALSE,TRUE,FALSE,0.375,0.6944444444,1,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Great job with your portion control!

You may use your own portion size, or try a size which is compatible with the size of your wallet.



All products are sold in the USA.",praise,portion control,0.5833333333,0.6976744186,0.25,0.2577763486,0.1984126984,0.5135135135,0.850778254,0.1951219512,0.2186553604,0.4383561644,0.2060085837,0.222965002,0.5,0.3571428571,0.3333333333,0,0.4759358289,FALSE,TRUE,FALSE,FALSE,FALSE,0.8571428571,0.875,0,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining water intake, you'll feel better. The lower the water supply to your plants, the more likely you are to become sick.

Insects are particularly susceptible to illness. Insect bites are a common cause of death in the",reward,water intake,0.8166666667,0.8837209302,0.375,0.4138131167,0.1726190476,0.45,0.5782765621,0.3780487805,0.3028467595,0.5547945205,0.3261802575,0.3688556823,0.5,0.5,0.6666666667,0.375,0.4441176471,FALSE,FALSE,FALSE,FALSE,FALSE,0.3038548753,0.6150793651,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your healthy eating by following the following steps:

1) Find a healthy and easy way to eat, exercise, and maintain a balanced diet.
, , and . 2) Take advantage of all the new natural, healthful",suggestion,healthy eating,0.7375,0.9069767442,0.25,0.2621880441,0.2698412698,0.3641304348,0.5798556282,0.506097561,0.5166565718,0,0.4763948498,0.3582383012,0.3125,0.4285714286,0.8888888889,0,0.5196078431,FALSE,FALSE,TRUE,TRUE,FALSE,0.4560915275,0.4125541126,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"Try to improve your meal planning by using one of the following:

Reduce the number of meals in a day
 (or a half day)
, or a part of a meal
.
- ( or ) Reduce the amount of",suggestion,meal planning,0.5791666667,0.8372093023,0.125,0.06069052086,0.4166666667,0.2151162791,0.7763365667,0.3475609756,0.3028467595,0,0.2618025751,0.1392056626,0.5625,0.3571428571,0.1111111111,0,0.08235294118,FALSE,FALSE,FALSE,TRUE,FALSE,0.2261904762,0.1333333333,3,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,FALSE
"Great job with your meal planning!

If you want to make a super-cheap meal, try some of our other tips for getting it done.
. . .",praise,meal planning,0.4,0.5348837209,0.5,0.1668601277,0.04761904762,0.7,0.83938642,0.2195121951,0.1695941853,0,0.2489270386,0.2186394023,0.25,0.3571428571,0.3333333333,0,0.8970588235,FALSE,TRUE,FALSE,FALSE,FALSE,0.5982142857,0.5625,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
Try to improve your portion control by taking a break from work to help your body's glycogen build up and your muscles get ready to work out.,suggestion,portion control,0.45,0.511627907,0,0.3367122301,0.5952380952,0.6120689655,0.667606587,0.5731707317,0.5330102968,0,0.5708154506,0.3177349587,0.375,0.5,0.1111111111,0,0.5588235294,FALSE,FALSE,FALSE,TRUE,TRUE,0.4285714286,0.5,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining portion control, you'll feel better.

3. When you're done playing, press and hold a button to ""Stop Playing"".
 (That's right, stop playing.)
, and, once you've stopped playing (and",reward,portion control,0.675,0.9534883721,0.5,0.1781231863,0.1333333333,0.34375,0.6999774419,0.256097561,0.1411265899,0.4109589041,0.3905579399,0.3590247739,0.375,0.6428571429,0.2222222222,0.25,0.4186851211,FALSE,FALSE,TRUE,FALSE,FALSE,0.5663265306,0.5178571429,2,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your water intake by using a special filter.

For best results, keep your filters clean of any organic and other contaminants. The filter will also help remove any bacteria and viruses. For best water performance, you will need to replace",suggestion,water intake,0.9166666667,0.9534883721,0.375,0.4596996518,0.1904761905,0.4375,0.4713512294,0.4756097561,0.3658388855,0.602739726,0.347639485,0.3916633897,0.625,0.6428571429,0.5555555556,0.125,0.4829001368,FALSE,FALSE,FALSE,TRUE,FALSE,0.6569727891,0.4492857143,3,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,FALSE,TRUE
"By maintaining portion control, you'll feel better.

4. The same thing applies to each of these steps. Take a step back and look at how you're planning your schedule. I'm sure you know that I've done this a million",reward,portion control,0.7541666667,0.9534883721,0.5,0.2406957342,0.1333333333,0.671875,0.8645386871,0.1646341463,0.1786795881,0.4109589041,0.2489270386,0.2638615808,0.4375,0.6428571429,0.2222222222,0.25,0.7701778386,FALSE,FALSE,TRUE,FALSE,FALSE,0.4642857143,0.3784722222,2,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining healthy eating, you'll feel better. The same is true for weight loss.

The key to the good health of your weight is to be healthy. In fact, it's probably even more important than you think. If you're",reward,healthy eating,0.7541666667,0.9534883721,0.5,0.2406957342,0.1333333333,0.484375,0.8645386871,0.1646341463,0.2404603271,0.5547945205,0.2489270386,0.2638615808,0.3125,0.5714285714,0.7777777778,0.5,0.5294117647,FALSE,FALSE,FALSE,FALSE,FALSE,0.5595238095,0.5972222222,2,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE
"Don't forget to monitor your water intake. Don't overdo it. You'll have less water when you go to the bathroom and less when people are out, so don't be worried about what you drink.

If you're having trouble",reminder,water intake,0.7291666667,0.9302325581,0.375,0.2320420839,0.1845238095,0.4734042553,0.7725016919,0.2317073171,0.1726226529,0.4109589041,0.2403433476,0.2477388911,0.3125,1,0.1111111111,0.625,0.3679890561,FALSE,FALSE,FALSE,TRUE,FALSE,0.1587301587,0.1111111111,1,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"By maintaining meal planning, you'll feel better.

4. It will help you keep your mind off food. The more you eat, the better you feel. When you're hungry, it's important to avoid eating things that don't seem",reward,meal planning,0.7291666667,0.9534883721,0.5,0.215666715,0.1333333333,0.484375,0.8702909993,0.1524390244,0.1695941853,0.4931506849,0.2660944206,0.2658277625,0.25,0.8571428571,0.4444444444,0.25,0.5179340029,FALSE,FALSE,TRUE,FALSE,FALSE,0.625,0.625,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Great job with your water intake!

We've got you covered with our latest Water System Replacement Parts and Replacement Accessories. Whether you're building or moving, we've found that water systems can save money, provide your health and enhance your home.",praise,water intake,0.9333333333,0.9534883721,0.25,0.5035004353,0.2857142857,0.53125,0.5382359576,0.4634146341,0.3222289522,0.602739726,0.5150214592,0.5084545812,0.4375,0.7857142857,0.2222222222,0,0.4254445964,FALSE,TRUE,FALSE,FALSE,FALSE,0.8214285714,0.825,0,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"By maintaining water intake, you'll feel better.

I recently went to a food court in the middle of a busy city. The food service was very busy, and there was a lot of people out of the way. I asked the wait",reward,water intake,0.7208333333,0.9534883721,0.375,0.1718659315,0.1904761905,0.390625,0.8565305662,0.1829268293,0.2483343428,0.4931506849,0.1459227468,0.1498230436,0.6875,0.4285714286,0.2222222222,0.5,0.3679890561,FALSE,FALSE,FALSE,FALSE,FALSE,0.39,0.288,2,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Great job with your meal planning!

Step 1
. Open your menu book and scroll to the top.
 and Scroll to The bottom of the menu. You will find a list of all of your options and you can select any of them",praise,meal planning,0.7,0.9069767442,0.5,0.1707777133,0.1238095238,0.4130434783,0.9519512745,0.1097560976,0.1332525742,0.2123287671,0.1115879828,0.1222965002,0.6875,0.2142857143,0.1111111111,0,0.2352941176,FALSE,TRUE,TRUE,FALSE,FALSE,0.6428571429,0.5833333333,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your healthy eating by eating well. I hope you enjoy your visit to our blog!

Enjoy!",suggestion,healthy eating,0.275,0.3488372093,0.25,0.2378515275,0.07936507937,0.5909090909,0.7725016919,0.2317073171,0.1090248334,0,0.1845493562,0.2040896579,0.1875,0.3571428571,0.1111111111,0.125,0.479876161,FALSE,TRUE,FALSE,TRUE,FALSE,0.6428571429,0.5,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
"Great job with your water intake!

It's great to have a water-quality indicator at the beach when you're out fishing.
, but the filter is a bit of a pain to install. The filters are still quite strong (no",praise,water intake,0.7125,0.8837209302,0.375,0.246952989,0.1726190476,0.75,0.7725016919,0.2317073171,0.236826166,0.4931506849,0.2145922747,0.2225717656,0.5625,0.4285714286,0.4444444444,0.25,0.6294117647,FALSE,TRUE,FALSE,FALSE,FALSE,0.8174603175,0.7444444444,0,TRUE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE
"Try to improve your portion control by adding another drink or two to your diet. Try to maintain the same amount of sugar you've had for a month or so. If you're getting high, try to drink lots of water. Don't drink too",suggestion,portion control,0.775,1,0.375,0.2089088799,0.2023809524,0.46,0.7576133544,0.262195122,0.1405208964,0.4109589041,0.1974248927,0.2048761306,0.5,0.9285714286,0.2222222222,0.375,0.4092071611,FALSE,FALSE,FALSE,TRUE,FALSE,0.3428571429,0.3325,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"Don't forget to monitor your portion control.

In general, the more you are in control, you will become more efficient. As a result, your budget will go up. In addition, when you start to pay attention to your own budget",reminder,portion control,0.7791666667,0.9534883721,0.375,0.2719820081,0.1904761905,0.25,0.5760207534,0.3841463415,0.3028467595,0.6506849315,0.2575107296,0.2729060165,0.4375,0.5714285714,0.4444444444,0.25,0.2769010043,FALSE,FALSE,FALSE,TRUE,FALSE,0.5803571429,0.625,1,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Don't forget to monitor your portion control.

This is a great tool to help you stay on top of your workout progress. As you get stronger, you'll get less energy from your diet and get more energy out of the workouts. Keep",reminder,portion control,0.7875,0.9534883721,0.375,0.2719820081,0.1904761905,0.484375,0.7210692533,0.3353658537,0.3331314355,0.602739726,0.3004291845,0.2713330712,0.5625,0.7142857143,0.4444444444,0.125,0.4946524064,FALSE,FALSE,FALSE,TRUE,FALSE,0.5773809524,0.4541666667,1,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Try to improve your portion control by following the following steps.

Use your hand to hold the end of the knife and remove the thread (you can use the handle to get out of it).
. Use your hands to slowly draw the strand",suggestion,portion control,0.7833333333,0.9534883721,0.375,0.2532102438,0.1904761905,0.296875,0.8129934582,0.2682926829,0.2253179891,0.5342465753,0.2703862661,0.239480928,0.5625,0.7857142857,0.1111111111,0,0.195622435,FALSE,FALSE,FALSE,TRUE,FALSE,0.2142857143,0.2,3,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE
"By maintaining portion control, you'll feel better. You're better off staying within your portion of the range (or, more accurately, the absolute length of your body) and you can increase your risk of injury.

Your body will work harder",reward,portion control,0.8458333333,0.9534883721,0.25,0.3783553395,0.2857142857,0.4375,0.637040379,0.3841463415,0.38037553,0.602739726,0.4334763948,0.4148643335,0.5625,0.4285714286,0.2222222222,0.375,0.3371592539,FALSE,FALSE,FALSE,FALSE,FALSE,0.5238095238,0.5055555556,2,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE
"Don't forget to monitor your meal planning. You'll know when it's time to eat, and when you'll be ready for it.

Here's how to make your first ever Taco Bell Taco!
 (This post may contain affiliate links",reminder,meal planning,0.7083333333,0.9302325581,0.375,0.2000901446,0.1845238095,0.5691489362,0.8702909993,0.1524390244,0.2350090854,0.4931506849,0.2317596567,0.2363350374,0.3125,0.7142857143,0.2222222222,0.375,0.4705882353,FALSE,TRUE,FALSE,TRUE,FALSE,0.46875,0.4166666667,1,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
"Try to improve your healthy eating by making healthy choices for your diet, lifestyle, and lifestyle.

Are You A Healthy Mindful Dieter?
. I am a healthy mindful dieter. My focus is on my own health, my",suggestion,healthy eating,0.7041666667,0.8372093023,0.5,0.2981751677,0.1095238095,0.5290697674,0.7782540041,0.2195121951,0.09691096305,0.2123287671,0.2489270386,0.2819504522,0.3125,0.3571428571,0.7777777778,0,0.3137254902,TRUE,FALSE,FALSE,TRUE,FALSE,0.6571428571,0.6,3,FALSE,FALSE,FALSE,TRUE,0,TRUE,FALSE,FALSE,FALSE
